row_number,master_id,name,record_role,startup_relevance,relevance_score,sector,sector_confidence,sector_review_required,governance_decision,duplicate_of
123,v332_8bb8621f379572d79719,International Bridges,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
124,v332_bae4b61912e6b147887c,National Startup Awards Landing,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,20,Cross-sector Innovation & Entrepreneurship,0.86,False,QUARANTINE,
125,v332_c532a2e19c687fa77d50,PUBLIC PROCUREMENT,SUPPORT_SCHEME_OR_SERVICE,NOT_STARTUP_RELEVANT,10,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
126,v332_783a531ec28b3e1a662f,Startup India Scheme,SCHEME_OR_PROGRAMME,POSSIBLY_RELEVANT,45,Cross-sector Innovation & Entrepreneurship,0.86,False,MANUAL_REVIEW,
127,v332_d7187e5adb221d198743,International,CATEGORY_OR_INDEX_PAGE,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE_DUPLICATE,b1_196ff6953f2be52364bb
128,v332_3502bb2bbb8ab6f0f10c,Income Tax Exemption Notifications,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
129,v332_f47c45174829b4e6d5b8,Self Certification,SCHEME_OR_PROGRAMME,NOT_STARTUP_RELEVANT,0,Sector Agnostic / Multi-sector,0.55,True,QUARANTINE,
130,v332_df4bf7d879fd96322411,Startup India MyBharat,SCHEME_OR_PROGRAMME,POSSIBLY_RELEVANT,45,Cross-sector Innovation & Entrepreneurship,0.86,False,MANUAL_REVIEW,
131,dststartup_5ec8809e526fc24dfba9,NIDHI – PRAYAS,SCHEME_OR_PROGRAMME,STARTUP_OR_MSME_RELEVANT,100,Cross-sector Innovation & Entrepreneurship,0.86,False,PUBLISH_SCHEME,
132,dststartup_b4fb6c485e9a8de2e5dc,NIDHI – Entrepreneur-in-Residence,SCHEME_OR_PROGRAMME,STARTUP_OR_MSME_RELEVANT,100,Cross-sector Innovation & Entrepreneurship,0.86,False,PUBLISH_SCHEME,
133,dststartup_d9c2b0323cb5bf69a5f1,NIDHI Seed Support Program,SCHEME_OR_PROGRAMME,STARTUP_OR_MSME_RELEVANT,95,Cross-sector Innovation & Entrepreneurship,0.86,False,PUBLISH_SCHEME,
134,dststartup_3fe56756e450cae9a68c,NIDHI – Technology Business Incubators,SCHEME_OR_PROGRAMME,STARTUP_OR_MSME_RELEVANT,95,Cross-sector Innovation & Entrepreneurship,0.99,False,PUBLISH_SCHEME,
135,dststartup_1d064daaa86ac3f37738,NIDHI – Inclusive Technology Business Incubators,SCHEME_OR_PROGRAMME,STARTUP_OR_MSME_RELEVANT,90,Cross-sector Innovation & Entrepreneurship,0.99,False,PUBLISH_SCHEME,
136,dststartup_a9b053d7f94272158492,NIDHI – Accelerator,CALL_INSTANCE,STARTUP_OR_MSME_RELEVANT,75,Cross-sector Innovation & Entrepreneurship,0.86,False,PUBLISH_CALL_SEPARATELY,
137,dststartup_c14cf6af6c4512b6ded7,Technology Development Board Core Funding,SCHEME_OR_PROGRAMME,STARTUP_OR_MSME_RELEVANT,100,Cross-sector MSME & Startup Finance,0.88,False,PUBLISH_SCHEME,
